"region","organisation","2012"
"01 Stockholms län","bokbussar",6
"03 Uppsala län","bokbussar",4
"04 Södermanlands län","bokbussar",2
"05 Östergötlands län","bokbussar",3
"06 Jönköpings län","bokbussar",6
"07 Kronobergs län","bokbussar",2
"08 Kalmar län","bokbussar",6
"09 Gotlands län","bokbussar",1
"10 Blekinge län","bokbussar",0
"12 Skåne län","bokbussar",10
"13 Hallands län","bokbussar",6
"14 Västra Götalands län","bokbussar",12
"17 Värmlands län","bokbussar",8
"18 Örebro län","bokbussar",4
"19 Västmanlands län","bokbussar",5
"20 Dalarnas län","bokbussar",1
"21 Gävleborgs län","bokbussar",2
"22 Västernorrlands län","bokbussar",3
"23 Jämtlands län","bokbussar",3
"24 Västerbottens län","bokbussar",4
"25 Norrbottens län","bokbussar",11
